Set,Model,Accuracy,Faithfulness Correlation,Complexity,Max Sensitivity,Avg Sensitivity,sMPRT,eMPRT,MoRF Zero AoC,MoRF Mean AoC,ROAR AoC
5,convnext,18.9,-0.016778025064365,0.9933701105942654,0.0080410782247781,0.0061431531794369,0.0761396884918212,0.0,9.45,8.4,9.583333333333334
5,convnext,28.2,-0.0199778325669708,0.9945489909169712,0.0160421393811702,0.0120309302583336,0.0640659928321838,0.0,16.9,16.1,22.08333333333333
5,convnext,40.8,0.035297540248301,0.9931434109457716,0.0294922310858964,0.0230444725602865,0.0799761414527893,0.0,24.2,22.7,32.5
5,convnext,49.7,-0.0102218658410312,0.9923284302757456,0.0340717658400535,0.0263206679373979,0.088914930820465,0.0,28.2,26.55,40.41666666666666
5,convnext,57.2,-0.0146081499357419,0.9908388302302982,0.0342224687337875,0.0266655460000038,0.1041783094406127,0.0,33.95,32.5,53.75
5,convnext,61.0,-0.0031635371219637,0.9908927829201164,0.0336775183677673,0.0267542153596878,0.1028083562850952,0.0,38.3,36.4,60.41666666666666
5,convnext,65.0,-0.0009043917074343,0.9887457749693068,0.0398894771933555,0.0314078219234943,0.1262071132659912,0.0,38.2,36.2,67.91666666666667
5,convnext,69.9,-0.0015325600703172,0.985472855873035,0.0438350811600685,0.0343339294195175,0.1584747433662414,0.0,41.6,38.55,67.91666666666667
5,convnext,76.3,-0.0068648330022232,0.9777506663901206,0.0524924546480178,0.0422488413751125,0.2319726347923278,0.0,44.3,41.7,77.5
5,convnext,80.2,0.0082974993867929,0.9845662680317552,0.0653960034251213,0.055344458669424,0.1648857593536377,0.0,52.95,50.45,74.58333333333333
5,resnet,27.7,0.0148275844768238,0.9754606978614728,0.0762326642870903,0.0687727406620979,0.2204123735427856,0.0,16.05,14.0,32.083333333333336
5,resnet,44.1,0.002729986555063,0.9795675653702852,0.034428060054779,0.0277450270950794,0.2045400738716125,0.0,29.6,29.05,41.66666666666666
5,resnet,53.1,0.0187034900618149,0.9725716999238676,0.065368928015232,0.0512861534953117,0.249642789363861,0.0,38.0,37.05,55.0
5,resnet,58.48,0.0012829648497201,0.973256505679528,0.0452935397624969,0.0321814902126789,0.2484757304191589,0.0,42.55,41.65,59.16666666666666
5,resnet,63.9,0.0031778514554888,0.9763630003979624,0.0458767376840114,0.0356038957834243,0.2286103963851928,0.0,48.2,47.7,69.16666666666667
5,resnet,66.0,-0.0175472531542038,0.9734315709178442,0.0492635816335678,0.0364447385072708,0.2456480264663696,0.0,50.25,49.3,73.33333333333333
5,resnet,69.0,0.0261543211864554,0.9759476068369016,0.0373964197933673,0.0278979651629924,0.2311198711395263,0.0,49.85,48.6,73.75
5,resnet,73.2,0.0111286166009631,0.971930168721499,0.0463218204677104,0.0349267907440662,0.2620899081230163,0.0,52.8,52.0,72.08333333333333
5,resnet,77.1,-0.0008323786751336,0.9747305100255748,0.0468499809503555,0.0358322113752365,0.2440078854560852,0.0,58.85,56.3,73.33333333333333
5,resnet,80.7,-0.0285213305433505,0.97334467055677,0.0419599451124668,0.0325772985816001,0.2527732849121094,0.0,64.2,62.75,85.0
5,vgg,12.47,0.0090515384939459,0.9751060010764576,0.0245872382074594,0.0201286599040031,0.2766077518463135,0.1660814457444775,0.05,0.1,1.25
5,vgg,23.6,-0.0017638602846048,0.974151572373503,0.0258146841078996,0.0208328384906053,0.2482516765594482,0.1923077727270813,0.15,0.15,0.0
5,vgg,34.8,-0.0072616845733899,0.9743812928106192,0.0251598544418811,0.0202882830053567,0.2718850970268249,0.1846816541009134,0.2,0.15,2.5
5,vgg,42.7,-0.0030688984184158,0.975234981725554,0.0243130400776863,0.0197552386671304,0.2537590265274048,0.1911656312204986,0.3,0.25,1.25
5,vgg,48.5,0.0215069456256462,0.9753136627315389,0.0241957325488328,0.0198548045009374,0.2754371762275696,0.1850073149824316,0.2,0.3,0.0
5,vgg,57.45,0.0124455473863365,0.9760299408895928,0.0248991753906011,0.0203015320003032,0.2637140154838562,0.1804481294241011,0.25,0.3,0.0
5,vgg,62.0,0.003984438297862,0.9755082577195546,0.0244313552975654,0.020074812695384,0.2504642009735107,0.173194190810752,0.1,0.25,0.0
5,vgg,68.0,-0.0089959309845773,0.9765895595446596,0.0243334341794252,0.019927741959691,0.2383280992507934,0.1806932662585083,0.2,0.2,1.25
5,vgg,72.2,-0.0199231616656571,0.9739567666327924,0.0252683162689209,0.0205287411808967,0.2588981389999389,0.2010504136581717,0.15,0.3,0.0
5,vgg,80.3,-0.0009736747755028,0.975251069181242,0.0254256390035152,0.0206633228808641,0.228655993938446,0.1935250025637849,0.05,0.15,1.25
6,convnext,17.9,0.0035505989797944,0.992135310556592,0.0382244288921356,0.0296399611979722,0.0894929766654968,0.0,9.05,8.25,4.166666666666667
6,convnext,29.1,-0.002805453321229,0.994122216710402,0.0621927604079246,0.0484121143817901,0.0699002146720886,0.0,16.3,14.25,29.58333333333333
6,convnext,41.1,-0.0030293311290089,0.9932893220613346,0.0564763993024826,0.0448433682322502,0.0769009590148925,0.0,25.1,24.25,31.666666666666668
6,convnext,49.7,-0.0060580112498459,0.99162430552308,0.0395862609148025,0.0310688763856887,0.0989633202552795,0.0,8.35,7.9,10.0
6,convnext,57.2,-0.0269930696149597,0.9918800890434288,0.0671380162239074,0.0534067042171955,0.0928033590316772,0.0,38.65,37.55,52.91666666666666
6,convnext,65.9,0.0014924223529485,0.9895880129878348,0.0925903692841529,0.0722395777702331,0.1165989637374877,0.0,42.8,42.6,56.66666666666666
6,convnext,68.5,0.0146862633011142,0.9895148115519098,0.1228090301156044,0.0936148762702941,0.116478681564331,0.0,44.0,42.5,68.33333333333333
